creation_date,job_title,country,category,salary_min,salary_max,salary_predicted,description,work_mode,skills,salary_min_raw,salary_max_raw,salary_avg,year
2025-05-20 17:25:48+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 17:25:48+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 17:25:48+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference?Want to be a part of the fastest-growing travel business in the UK?Want to join the world's 1 lifestyle franchise?Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more. Th…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 17:25:47+00:00,Asset Data Analyst,GB,IT Jobs,39248.0,39248.0,0,"Asset Data Analyst Salary Up to £39,248 Location Didsbury, Manchester Permanent, Full Time Reporting to the Data and Planning Manager, you will play a key role in supporting the delivery of Great Places’ Corporate Plan, Asset Management, and Sustainability Strategies. This role’s primary responsibility is to provide research, analytical insights, and quality assurance across the organisation. You will ensure data accuracy and integrity, meeting both internal and external requirements. Effective…",Onsite,r,39248.0,39248.0,39248.0,2025
2025-05-20 17:25:46+00:00,Commercial / Ecommerce Analyst,GB,"PR, Advertising & Marketing Jobs",26000.0,30000.0,0,"Graduate Commercial / Ecommerce Analyst ?? Location: Birchwood, Warrington (fully office-based) ?? Salary: £26,000 – £30,000  performance-related bonuses ?? Ideal for recent graduates with a background in maths, data, economics, or business ?? Recruiting exclusively via Axon Moore Kickstart your career where data meets ecommerce. Axon Moore is proud to be partnering exclusively with a leading tech and ecommerce group based in Birchwood, Warrington. Known for their award-winning PC gaming system…",Onsite,r,26000.0,30000.0,28000.0,2025
2025-05-20 16:50:20+00:00,Asset Data Analyst,GB,IT Jobs,,39248.0,0,"Asset Data Analyst (full time, 35 hours per week) Reporting to the Data and Planning Manager, you will play a key role in supporting the delivery of Great Places&rsquo; Corporate Plan, Asset Management, and Sustainability Strategies. This role&rsquo;s primary responsibility is to provide research, analytical insights, and quality assurance across the organisation. You will ensure data accuracy and integrity, meeting both internal and external requirements. Effective collaboration with surveyors…",Onsite,r,0.0,39248.0,39248.0,2025
2025-05-20 16:47:51+00:00,Senior Data Analyst,GB,IT Jobs,,59082.0,0,"About The Role Hippo is recruiting for a Senior Data Analyst to join our Hippo Herd . Our Data Analysts work in multi-disciplinary teams that build, support & maintain user-centred digital solutions that offer real value and work for everyone. Hippo’s Data Analysts are involved in creating data specific solutions to ensure we have the right information and data to make informed decisions. Stakeholder engagement is key and collaborating within your technical Hippo squad and alongside colleagues …",Onsite,r,0.0,59082.0,59082.0,2025
2025-05-20 16:47:33+00:00,Data Engineer,GB,IT Jobs,64864.34,64864.34,1,"Location - Newcastle Employment Type - Full Time - Permanent Salary - £55,000 - £68,500 per annum Hours Per Week - 37.5 We're building something special — and we need a talented Data Engineer to help bring our Azure data platform to life. This is your chance to work on a greenfield Enterprise Data Warehouse programme in the insurance sector, shaping data pipelines and platforms that power smarter decisions, better pricing, and sharper customer insights. The Data Engineer will design, build, and…",Onsite,"azure, r",64864.34,64864.34,64864.34,2025
2025-05-20 16:34:28+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world’s 1 lifestyle franchise? Want more than just a job? If so, we’re ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You’ll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:34:11+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world’s 1 lifestyle franchise? Want more than just a job? If so, we’re ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You’ll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:34:09+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world’s 1 lifestyle franchise? Want more than just a job? If so, we’re ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You’ll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:29:18+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world’s 1 lifestyle franchise? Want more than just a job? If so, we’re ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You’ll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:29:17+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world’s 1 lifestyle franchise? Want more than just a job? If so, we’re ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You’ll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:29:16+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:24:12+00:00,Data Scientist,GB,IT Jobs,45200.0,49200.0,0,"Description Organisation: Defence Equipment & Support Salary: £45,200 - £49,200 per annum (plus generous benefits) Grade: PII Working Pattern: Full time, Part time, Job Share, Flexible Working Contract Type: Permanent Summary At Defence Equipment & Support (DE&S), we supply and maintain vital equipment and services for the Royal Navy, British Army and Royal Air Force. Together, we deliver a vast range of essential defence programmes, and strive for what's next. Because it helps keep our militar…",Onsite,r,45200.0,49200.0,47200.0,2025
2025-05-20 16:22:45+00:00,People Data and Performance Metrics Analyst,GB,IT Jobs,58956.79,58956.79,1,"Agency : Havas Media Job Description : The People Data and Performance Metrics Analyst role sits inside a strategic HR team. The data you analyse and the insights you find will directly impact business decision making, strategy, and enable delivery of a meaningful people experience. This role has BAU dashboard maintenance and refresh tasks combined with exciting new projects which will make a meaningful difference to our employee experience People Data and Performance Metrics Analyst Reporting …",Onsite,r,58956.79,58956.79,58956.79,2025
