Title,Company,Location,Salary_Min,Salary_Max,Salary_Avg,Salary_Is_Predicted,Category,Description,URL
Data Analyst,No1 Legal and Professional,"London, UK",37911.97,37911.97,37911.97,1,IT Jobs,"Data Analyst Great opportunity to work at a technology firm based in central London Successful candidate will have Advanced Excel skills Data Analyst Assist in gathering, organising, and maintaining datasets from various sources. Conduct exploratory data analysis, summarise key insights, and create reports for internal teams and clients. Create clear and engaging charts, dashboards, and reports using tools like Excel Data Analyst Proficiency in Excel (pivot tables, VLOOKUP, basic formulas). Fam…",https://www.adzuna.co.uk/jobs/land/ad/5166772180?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=5436A9B9E210DE6E7AC8680BCBC02BE407D38AA7
Data Analyst,Harcourt Matthews Ltd,"Bristol, South West England",32000.0,38000.0,38000.0,0,IT Jobs,"Data Analyst Bristol hybrid working available £32,000 - £38,000  excellent company benefits A Data Analyst opportunity is available at this leading professional services group. In this role, you will lead key transformation initiatives, rolling out innovative ways of working that enhance efficiency, drive value, and improve client service. This is a fantastic opportunity to make a tangible impact by leveraging technology, AI, and process improvements within a dynamic, forward-thinking firm. Key…",https://www.adzuna.co.uk/jobs/land/ad/5174146409?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=DFE6704B4EEE55DBCB457935A2C7D4E7E920DF03
Lead Data Analyst,KINGS COLLEGE LONDON-1,"London, UK",71038.45,71038.45,71038.45,1,Teaching Jobs,"About us King’s Centre for International Education and Languages CIEL is a new, cross-cutting Centre designed to widen the educational reach of King’s. It brings together three existing areas: King’s Foundations, Summer Programmes, and King’s Language Centre. This brings together international pathway provision, pre sessional programmes, pre-UG summer courses, UG summer modules, UG language modules, bespoke language programmes for the community and our partners and academic skills provision for…",https://www.adzuna.co.uk/jobs/land/ad/5175047622?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=C7A31E78D1D81457A6DB23351AAD20C19527F358
Data Analyst - Market Risk Controls (BELFAST),McGregor Boyall Associates Limited,"Belfast, Northern Ireland",143000.0,156000.0,156000.0,0,IT Jobs,"Role: Data Analyst - Market Risk Controls Rate: £600.00 per day (Inside IR35, via Umbrella) Length: 6 months, until 31/12/2025 Location: Belfast (Hybrid, 2 to 3 days per week in office) We're supporting a leading investment bank as they build out the control framework for their strategic data platform within Market Risk. This sits within a wider transformation programme focused on improving the quality, traceability and control of risk data. This role would suit someone who enjoys getting into …",https://www.adzuna.co.uk/jobs/land/ad/5173067947?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=C03CA5D4942B6FECF1738817470D0563BF21CC5D
Data Analyst Apprentice,QA Limited,"Livingston, West Lothian",19000.0,19000.0,19000.0,0,Admin Jobs,"Employer description: Bilfinger UK is a leading engineering and maintenance provider with a workforce of over 4,000 employees operating from sites across the UK. The business is part of the wider Bilfinger group, who are Europe’s largest industrial services provider and have around 30000 employees who are located across four key international business units in Europe, North America and the Middle East. They have extensive experience in onshore and offshore facilities, specialising in asset mana…",https://www.adzuna.co.uk/jobs/land/ad/5162374482?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=598D179A09BF5A94A8159333132D95200C3674DB
BI Data Analyst,Dreams Ltd,"High Wycombe, Buckinghamshire",41186.19,41186.19,41186.19,1,IT Jobs,"At Dreams, we know your bed is the best place in the whole world. But for the hours between precious sleep, we`d like to make work a special place to be too. We`re the UK`s most loved bed retailer, so it`s important our people feel the love as well. There`s over 250 of us at our affectionally named `Bedquarters` in High Wycombe, Buckinghamshire, where every dreamer makes a difference.We`re super passionate about our people-first culture, which means we like to keep things simple and celebrate e…",https://www.adzuna.co.uk/jobs/land/ad/5200078470?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=C830668B8C7684876B4CE4782CAD84C81955C717
BI & Data Analyst,Dreams Ltd,"High Wycombe, Buckinghamshire",42173.83,42173.83,42173.83,1,IT Jobs,"At Dreams, we know your bed is the best place in the whole world. But for the hours between precious sleep, we`d like to make work a special place to be too. We`re the UK`s most loved bed retailer, so it`s important our people feel the love as well. There`s over 250 of us at our affectionally named `Bedquarters` in High Wycombe, Buckinghamshire, where every dreamer makes a difference. We`re super passionate about our people-first culture, which means we like to keep things simple and celebrate …",https://www.adzuna.co.uk/jobs/land/ad/5168444151?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=6F850BF6579F325039CF2894C90260B3B7713310
Senior Data Analyst,Bank of America,"Chester, Cheshire",48817.96,48817.96,48817.96,1,IT Jobs,"Job Description: Job Title: Senior Data Analyst - CFO Corporate Title: Assistant Vice President Location: Chester Company Overview: At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. Responsible Growth is how we run our company and how we deliver for our clients, teammates, communities and shareholders every day. One of the keys to driving Responsible Growth is being a great place to work for our teammates around the …",https://www.adzuna.co.uk/jobs/details/5179849868?utm_medium=api&utm_source=25f3af84
Army Data Analyst,Ministry of Defence,"Andover, Hampshire",37131.24,37131.24,37131.24,1,IT Jobs,"Length of employment: Job Summary: The Ministry of Defence employs over 50,000 Civil Servants. Within that, the Army Top Level Budget (TLB) employs around 12,000 MOD Civil Servants located at over 300 locations. Ours is a diverse workforce, with roles ranging from trainers, human resources, teachers, and psychologists to storekeepers, financiers, project and programme managers, and policy secretariat staff. There are many different functions and professions delivering key outputs for the Army. …",https://www.adzuna.co.uk/jobs/details/5197991705?utm_medium=api&utm_source=25f3af84
DE&S Data Analyst,Defence Nuclear Enterprise,"Bristol, South West England",43396.16,43396.16,43396.16,1,IT Jobs,"Length of employment: Job Summary: At Defence Equipment & Support (DE&S), we supply and maintain vital equipment and services for the Royal Navy, British Army and Royal Air Force. Together, we deliver a vast range of essential defence programmes, and strive for what's next. Because it helps keep our military at the top of their game and our nation safe - for today, and tomorrow. We offer 25 days' holiday, flexible and hybrid working, enhanced parental leave schemes, shopping discounts, and an e…",https://www.adzuna.co.uk/jobs/details/5195340752?utm_medium=api&utm_source=25f3af84
