Title,Company,Location,Salary_Min,Salary_Max,Salary_Avg,Salary_Is_Predicted,Category,Description,URL
Digital Data Analyst,Motability Operations,"Bristol, South West England",51701.39,51701.39,51701.39,1,IT Jobs,"Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. As our Digital Data Analyst, you will play a key role in supporting the charge in digital innovation and management across our diverse range of products and services. In this role, you will support our Digital teams, encomp…",https://www.adzuna.co.uk/jobs/land/ad/5138517714?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=D6F8A6EB4F8B727B2A9C1D3A4C85FF36C203EF29
HR Data Analyst,Hillarys HR,"Netherfield, Nottingham",52662.42,52662.42,52662.42,1,Accounting & Finance Jobs,"Do you want to become part of the Hunter Douglas DREAM? Hunter Douglas is the global market leader in window coverings, operating across 136 entities over 100 countries. Hunter Douglas is seeking a ZBB People Specialist who will play a pivotal role in managing, analysing, and enhancing the visibility of people-related costs across the EMEA region, supporting the Zero-Based Budgeting (ZBB) transformation at Hunter Douglas. In this role you will ensure alignment of actuals, budgets, and forecasts…",https://www.adzuna.co.uk/jobs/land/ad/5163267841?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=B68728E04B004CBA8733E34E1CE0D98E85F6C9E8
Data Analyst,UK Research and Innovation,"Swindon, Wiltshire",31667.21,31667.21,31667.21,1,Admin Jobs,"The Arts and Humanities Research Council (AHRC) Data Analyst Salary: £36,650 Per Annum Hours: Full Time or Part Time (Minimum 0.7 FTE Per Week) Contract Type: Open Ended (Permanent) Location: Polaris House, Swindon, Wiltshire (Hybrid) Grade: UKRI Band D Closing Date: 26 May 25 Team Information The Portfolio Management and Insights team has a wide range or responsibilities within AHRC. The team includes the data function of AHRC which provides support and management of reporting and analysis cap…",https://www.adzuna.co.uk/jobs/details/5197407900?utm_medium=api&utm_source=25f3af84
Data Analyst,Department for Work and Pensions,"Newcastle Upon Tyne, Tyne & Wear",35051.51,35051.51,35051.51,1,Customer Services Jobs,"Length of employment: Job Summary: Please note this role requires you to pass Security Check clearance. For further information, please see 'Selection process details'. At DWP Digital, we design and develop digital user-friendly digital services that enable millions of people to access the help, advice, and financial support they need. Almost everyone in the UK relies on our digital services at some point in their lives. DWP needs the right intelligence for it to be able to deliver its services…",https://www.adzuna.co.uk/jobs/details/5195340766?utm_medium=api&utm_source=25f3af84
Data Analyst - (Research Fellow),Spectrum It Recruitment Limited,"Southampton, Hampshire",35000.0,35000.0,35000.0,0,IT Jobs,"Data Analyst (Research Fellow) Southampton HQ - Hybrid Working - 3 Days In Office Up to £36,000 - DOE Drivers Licence Required for Travel We're looking for a Data Analyst/Research Fellow to deliver a wide range of research and consultation projects. You'll design and conduct primary and secondary research, manage multiple projects, analyse data, and create actionable reports to support strategic decisions across the organisation. Key Responsibilities: Lead end-to-end delivery of qualitative and…",https://www.adzuna.co.uk/jobs/land/ad/5198189280?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=5C238CE7492624C6AD703AA374F7B1CD1F6AB78D
Junior Data Analyst Apprenticeship,Baltic Apprenticeships,"New Bilton, Rugby",14000.0,14000.0,14000.0,0,IT Jobs,"Rugby School is a prestigious institution with a rich history of academic excellence. They are committed to nurturing talent and creating an environment where their students and staff can thrive. As part of the Rugby School Group, you will play an essential role in supporting educational innovation by providing valuable insights through data. Are you ready to embark on a journey in the world of data analysis? As a Junior Data Analyst Apprentice at Rugby School, you will support the use of data …",https://www.adzuna.co.uk/jobs/land/ad/5202582209?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=F85AE7910BBA5FDC66F81FE9B4C29FB09930F0FD
Safeguarding Administration and Data Analyst,wellington college,"Wellington College, Crowthorne",31475.33,31475.33,31475.33,1,Teaching Jobs,"Wellington College is one of the world's leading co-educational boarding and day schools located in rural Berkshire set in a stunning 400 acre campus, home to a blend of breathtaking original architecture and modern state-of-the-art facilities to provide the best possible education environment for our pupils. We have an exciting opportunity within our Safeguarding department who are looking for an enthusiastic and dedicated Safeguarding Administrator and Data Analyst . About the role: You will …",https://www.adzuna.co.uk/jobs/land/ad/5202379975?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=BDDDC9BE41F8A88FF01838D3C9CA50CF708483F5
Global Ecommerce Data Analyst,Brompton Bicycle,UK,38727.87,38727.87,38727.87,1,IT Jobs,"Global E-Commerce Analyst About Brompton Brompton Bicycle is not just a brand; it's a symbol of innovative urban mobility. Founded in London in 1975, we have become a bit of a global icon, with our easily recognisable design and unwavering commitment to making city cycling smarter and more accessible. At the heart of our success is our ingenious foldable bike a testament to British engineering excellence. The compact and portable bicycles have revolutionised urban transportation, offering a pra…",https://www.adzuna.co.uk/jobs/land/ad/5199042319?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=8297E20CDC6DC091C195A3651D2878378F53AFB3
Data Analyst,International SOS,"London, UK",41867.27,41867.27,41867.27,1,IT Jobs,"International SOS is the world’s leading medical and security services company with over 12,000 employees working in 1,000 locations in 90 countries. International SOS Government Services administers the TRICARE Overseas Program providing high-quality, accessible health care services for U.S. Military service members, family members, retirees, and other eligible beneficiaries overseas. About the role Join our team as a Data Analyst where you will be part of a dynamic team dedicated to deliverin…",https://www.adzuna.co.uk/jobs/land/ad/5185037801?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=2B220D673356683B000CA990597703CFD9EA635F
Senior Data Analyst,TQR,"Plymouth, South West England",47641.05,47641.05,47641.05,1,IT Jobs,"As part of our clients continued growth and success, we are seeking a skilled and proactive Senior Data Analyst to join their Head Office team in Plymouth. This is an exciting opportunity to play a strategic role in shaping data-driven decisions across the entire Supply Chain, driving performance improvements, and supporting transformative change programs. Role Overview The Senior Data Analyst will be a critical member of the leadership team, providing expert-level insights and analysis across …",https://www.adzuna.co.uk/jobs/land/ad/5177181930?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=B55B38C8B999C2ACF048874763E2AB66C4CF7A4C
